m/z,Average,Tryp R05,IMS199_Chemo_Left_4K,IMS199_Control_Right_Bottom_4K,IMS199_Control_Right_Top_4K
772.0264282,0.97258,1.16055,0.911067,0.96819,0.986914
772.7224731,1.17,1.17483,1.20747,1.13552,1.12085
773.4185181,1.0958,1.04051,1.3362,0.945025,0.860637
774.114502,1.07465,1.16852,0.926938,1.1574,1.21374
774.8105469,1.11566,1.16009,1.13577,1.09374,1.07251
775.5065918,0.961529,1.06908,1.02031,0.895152,0.874473
776.2026367,0.878312,1.27589,0.849649,0.791636,0.854115
776.8986816,0.952425,1.27706,0.937847,0.8747,0.895259
777.5946655,1.00872,1.31128,1.01295,0.933724,0.932101
778.2907104,0.854573,1.181,0.873458,0.744122,0.793172
778.9867554,0.918324,1.36406,0.879919,0.845257,0.887002
779.6828003,1.04389,1.36126,1.05688,0.968123,0.97285
780.3787842,0.925626,1.28171,0.998123,0.798704,0.795266
781.0748291,0.977213,1.35177,0.94969,0.914882,0.945917
781.770874,1.65371,1.39857,1.84537,1.41257,1.49666
782.4669189,1.11459,1.16197,1.26793,0.944766,0.953315
783.1629639,0.942313,1.35815,0.865332,0.868651,0.962898
783.8589478,1.05957,1.23032,1.07029,1.00475,1.00843
784.5549927,1.10961,1.17604,1.22812,1.00423,0.967672
785.2510376,1.038,1.57384,1.05894,0.887228,0.947037
785.9470825,1.12954,1.52499,1.05734,1.0683,1.12128
786.6431274,1.58837,1.38921,1.71235,1.60117,1.45218
787.3391113,1.02638,1.26208,1.1073,0.860048,0.935062
788.0351563,1.18146,1.33108,1.0845,1.28006,1.21919
788.7312012,7.21243,1.26933,8.40642,7.84218,6.9965
789.4272461,2.00901,1.26076,3.22161,1.04832,1.06671
790.123291,2.40341,1.30802,1.64774,3.4439,3.23029
790.8192749,1.51383,1.49533,1.58998,1.50359,1.43652
